,企業名 車両型式,画像,車名＆グレード,タイヤ外径 タイヤサイズ [最低地上高] 100kmh回転数,排気量 変速機
21,キャデラック [7BA-T1UL型] エスカレード [Platinum] 2020/11モデルタイヤ外径834mmタイヤサイズ275/50R22最低地上高-100km/h回転数1310rpmエンジン型式L87型 6.2L/NA車体構成7人乗りSUV 4WD/10AT,キャデラック [7BA-T1UL型] エスカレード [Platinum] 2020/11モデルタイヤ外径834mmタイヤサイズ275/50R22最低地上高-100km/h回転数1310rpmエンジン型式L87型 6.2L/NA車体構成7人乗りSUV 4WD/10AT,キャデラック [7BA-T1UL型] エスカレード [Platinum] 2020/11モデルタイヤ外径834mmタイヤサイズ275/50R22最低地上高-100km/h回転数1310rpmエンジン型式L87型 6.2L/NA車体構成7人乗りSUV 4WD/10AT,キャデラック [7BA-T1UL型] エスカレード [Platinum] 2020/11モデルタイヤ外径834mmタイヤサイズ275/50R22最低地上高-100km/h回転数1310rpmエンジン型式L87型 6.2L/NA車体構成7人乗りSUV 4WD/10AT,キャデラック [7BA-T1UL型] エスカレード [Platinum] 2020/11モデルタイヤ外径834mmタイヤサイズ275/50R22最低地上高-100km/h回転数1310rpmエンジン型式L87型 6.2L/NA車体構成7人乗りSUV 4WD/10AT
22,キャデラック [7BA-T1UL型],キャデラック [7BA-T1UL型],,,
23,エスカレード [Platinum] 2020/11モデル,エスカレード [Platinum] 2020/11モデル,,,
24,タイヤ外径,834mm,,,
25,タイヤサイズ,275/50R22,,,
26,最低地上高,-,,,
27,100km/h回転数,1310rpm,,,
28,エンジン型式,L87型 6.2L/NA,,,
29,車体構成,7人乗りSUV 4WD/10AT,,,
30,レクサス VJA310W,,2022/01 LX LX600 Executive 4人乗り [3BA-VJA310W型],824mm 265/50R22 [210mm] 1310rpm,V35A-FTS 3.5L/TT 4WD/10AT SUV
31,レクサス [3BA-VJA310W型] LX [LX600 Executive 4人乗り] 2022/01モデルタイヤ外径824mmタイヤサイズ265/50R22最低地上高210mm100km/h回転数1310rpmエンジン型式V35A-FTS型 3.5L/TT車体構成4人乗りSUV 4WD/10AT,レクサス [3BA-VJA310W型] LX [LX600 Executive 4人乗り] 2022/01モデルタイヤ外径824mmタイヤサイズ265/50R22最低地上高210mm100km/h回転数1310rpmエンジン型式V35A-FTS型 3.5L/TT車体構成4人乗りSUV 4WD/10AT,レクサス [3BA-VJA310W型] LX [LX600 Executive 4人乗り] 2022/01モデルタイヤ外径824mmタイヤサイズ265/50R22最低地上高210mm100km/h回転数1310rpmエンジン型式V35A-FTS型 3.5L/TT車体構成4人乗りSUV 4WD/10AT,レクサス [3BA-VJA310W型] LX [LX600 Executive 4人乗り] 2022/01モデルタイヤ外径824mmタイヤサイズ265/50R22最低地上高210mm100km/h回転数1310rpmエンジン型式V35A-FTS型 3.5L/TT車体構成4人乗りSUV 4WD/10AT,レクサス [3BA-VJA310W型] LX [LX600 Executive 4人乗り] 2022/01モデルタイヤ外径824mmタイヤサイズ265/50R22最低地上高210mm100km/h回転数1310rpmエンジン型式V35A-FTS型 3.5L/TT車体構成4人乗りSUV 4WD/10AT
32,レクサス [3BA-VJA310W型],レクサス [3BA-VJA310W型],,,
33,LX [LX600 Executive 4人乗り] 2022/01モデル,LX [LX600 Executive 4人乗り] 2022/01モデル,,,
34,タイヤ外径,824mm,,,
35,タイヤサイズ,265/50R22,,,
36,最低地上高,210mm,,,
37,100km/h回転数,1310rpm,,,
38,エンジン型式,V35A-FTS型 3.5L/TT,,,
39,車体構成,4人乗りSUV 4WD/10AT,,,
40,三菱 V23C,,1998/02 パジェロ J-Top JS [E-V23C型],823mm 215/85R18 [245mm] 2610rpm,6G72 3.0L/NA 4WD/5MT SUV
41,三菱 [E-V23C型] パジェロ [J-Top JS] 1998/02モデルタイヤ外径823mmタイヤサイズ215/85R18最低地上高245mm100km/h回転数2610rpmエンジン型式6G72型 3.0L/NA車体構成4人乗りSUV 4WD/5MT,三菱 [E-V23C型] パジェロ [J-Top JS] 1998/02モデルタイヤ外径823mmタイヤサイズ215/85R18最低地上高245mm100km/h回転数2610rpmエンジン型式6G72型 3.0L/NA車体構成4人乗りSUV 4WD/5MT,三菱 [E-V23C型] パジェロ [J-Top JS] 1998/02モデルタイヤ外径823mmタイヤサイズ215/85R18最低地上高245mm100km/h回転数2610rpmエンジン型式6G72型 3.0L/NA車体構成4人乗りSUV 4WD/5MT,三菱 [E-V23C型] パジェロ [J-Top JS] 1998/02モデルタイヤ外径823mmタイヤサイズ215/85R18最低地上高245mm100km/h回転数2610rpmエンジン型式6G72型 3.0L/NA車体構成4人乗りSUV 4WD/5MT,三菱 [E-V23C型] パジェロ [J-Top JS] 1998/02モデルタイヤ外径823mmタイヤサイズ215/85R18最低地上高245mm100km/h回転数2610rpmエンジン型式6G72型 3.0L/NA車体構成4人乗りSUV 4WD/5MT
42,三菱 [E-V23C型],三菱 [E-V23C型],,,
43,パジェロ [J-Top JS] 1998/02モデル,パジェロ [J-Top JS] 1998/02モデル,,,
44,タイヤ外径,823mm,,,
45,タイヤサイズ,215/85R18,,,
46,最低地上高,245mm,,,
47,100km/h回転数,2610rpm,,,
48,エンジン型式,6G72型 3.0L/NA,,,
49,車体構成,4人乗りSUV 4WD/5MT,,,
50,ベンツ 167989,,2021/05 GLS AMG GLS63 4matic+ X167 [7AA-167989型],819mm 325/40R22 [200mm] -,M177 4.0L/TT 4WD/9AT SUV
51,ベンツ [7AA-167989型] GLS AMG [GLS63 4matic+ X167] 2021/05モデルタイヤ外径819mmタイヤサイズ325/40R22最低地上高200mm100km/h回転数-エンジン型式M177型 4.0L/TT車体構成7人乗りSUV 4WD/9AT,ベンツ [7AA-167989型] GLS AMG [GLS63 4matic+ X167] 2021/05モデルタイヤ外径819mmタイヤサイズ325/40R22最低地上高200mm100km/h回転数-エンジン型式M177型 4.0L/TT車体構成7人乗りSUV 4WD/9AT,ベンツ [7AA-167989型] GLS AMG [GLS63 4matic+ X167] 2021/05モデルタイヤ外径819mmタイヤサイズ325/40R22最低地上高200mm100km/h回転数-エンジン型式M177型 4.0L/TT車体構成7人乗りSUV 4WD/9AT,ベンツ [7AA-167989型] GLS AMG [GLS63 4matic+ X167] 2021/05モデルタイヤ外径819mmタイヤサイズ325/40R22最低地上高200mm100km/h回転数-エンジン型式M177型 4.0L/TT車体構成7人乗りSUV 4WD/9AT,ベンツ [7AA-167989型] GLS AMG [GLS63 4matic+ X167] 2021/05モデルタイヤ外径819mmタイヤサイズ325/40R22最低地上高200mm100km/h回転数-エンジン型式M177型 4.0L/TT車体構成7人乗りSUV 4WD/9AT
52,ベンツ [7AA-167989型],ベンツ [7AA-167989型],,,
53,GLS AMG [GLS63 4matic+ X167] 2021/05モデル,GLS AMG [GLS63 4matic+ X167] 2021/05モデル,,,
54,タイヤ外径,819mm,,,
55,タイヤサイズ,325/40R22,,,
56,最低地上高,200mm,,,
57,100km/h回転数,-,,,
58,エンジン型式,M177型 4.0L/TT,,,
59,車体構成,7人乗りSUV 4WD/9AT,,,
60,キャデ ラック -,,2012/05 エスカレード BaseGrade 型式不明,815mm 285/45R22 - 1480rpm,Vortec6200 6.2L/NA 4WD/6AT SUV
61,キャデラック 型式不明 エスカレード [BaseGrade] 2012/05モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高-100km/h回転数1480rpmエンジン型式Vortec6200型 6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [BaseGrade] 2012/05モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高-100km/h回転数1480rpmエンジン型式Vortec6200型 6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [BaseGrade] 2012/05モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高-100km/h回転数1480rpmエンジン型式Vortec6200型 6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [BaseGrade] 2012/05モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高-100km/h回転数1480rpmエンジン型式Vortec6200型 6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [BaseGrade] 2012/05モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高-100km/h回転数1480rpmエンジン型式Vortec6200型 6.2L/NA車体構成7人乗りSUV 4WD/6AT
62,キャデラック 型式不明,キャデラック 型式不明,,,
63,エスカレード [BaseGrade] 2012/05モデル,エスカレード [BaseGrade] 2012/05モデル,,,
64,タイヤ外径,815mm,,,
65,タイヤサイズ,285/45R22,,,
66,最低地上高,-,,,
67,100km/h回転数,1480rpm,,,
68,エンジン型式,Vortec6200型 6.2L/NA,,,
69,車体構成,7人乗りSUV 4WD/6AT,,,
70,キャデ ラック -,,2015/02 エスカレード Premium 型式不明,815mm 285/45R22 [215mm] 1480rpm,- 6.2L/NA 4WD/6AT SUV
71,キャデラック 型式不明 エスカレード [Premium] 2015/02モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高215mm100km/h回転数1480rpm排気量/吸気方式6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [Premium] 2015/02モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高215mm100km/h回転数1480rpm排気量/吸気方式6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [Premium] 2015/02モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高215mm100km/h回転数1480rpm排気量/吸気方式6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [Premium] 2015/02モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高215mm100km/h回転数1480rpm排気量/吸気方式6.2L/NA車体構成7人乗りSUV 4WD/6AT,キャデラック 型式不明 エスカレード [Premium] 2015/02モデルタイヤ外径815mmタイヤサイズ285/45R22最低地上高215mm100km/h回転数1480rpm排気量/吸気方式6.2L/NA車体構成7人乗りSUV 4WD/6AT
72,キャデラック 型式不明,キャデラック 型式不明,,,
73,エスカレード [Premium] 2015/02モデル,エスカレード [Premium] 2015/02モデル,,,
74,タイヤ外径,815mm,,,
75,タイヤサイズ,285/45R22,,,
76,最低地上高,215mm,,,
77,100km/h回転数,1480rpm,,,
78,排気量/吸気方式,6.2L/NA,,,
79,車体構成,7人乗りSUV 4WD/6AT,,,
80,JEEP JK38S,,2007/03 ラングラー Rubicon 6MT [ABA-JK38S型],814mm 255/75R17 - 2180rpm,8 3.8L/NA 4WD/6MT SUV
81,JEEP [ABA-JK38S型] ラングラー [Rubicon 6MT] 2007/03モデルタイヤ外径814mmタイヤサイズ255/75R17最低地上高-100km/h回転数2180rpmエンジン型式8型 3.8L/NA車体構成4人乗りSUV PT4WD/6MT,JEEP [ABA-JK38S型] ラングラー [Rubicon 6MT] 2007/03モデルタイヤ外径814mmタイヤサイズ255/75R17最低地上高-100km/h回転数2180rpmエンジン型式8型 3.8L/NA車体構成4人乗りSUV PT4WD/6MT,JEEP [ABA-JK38S型] ラングラー [Rubicon 6MT] 2007/03モデルタイヤ外径814mmタイヤサイズ255/75R17最低地上高-100km/h回転数2180rpmエンジン型式8型 3.8L/NA車体構成4人乗りSUV PT4WD/6MT,JEEP [ABA-JK38S型] ラングラー [Rubicon 6MT] 2007/03モデルタイヤ外径814mmタイヤサイズ255/75R17最低地上高-100km/h回転数2180rpmエンジン型式8型 3.8L/NA車体構成4人乗りSUV PT4WD/6MT,JEEP [ABA-JK38S型] ラングラー [Rubicon 6MT] 2007/03モデルタイヤ外径814mmタイヤサイズ255/75R17最低地上高-100km/h回転数2180rpmエンジン型式8型 3.8L/NA車体構成4人乗りSUV PT4WD/6MT
82,JEEP [ABA-JK38S型],JEEP [ABA-JK38S型],,,
83,ラングラー [Rubicon 6MT] 2007/03モデル,ラングラー [Rubicon 6MT] 2007/03モデル,,,
84,タイヤ外径,814mm,,,
85,タイヤサイズ,255/75R17,,,
86,最低地上高,-,,,
87,100km/h回転数,2180rpm,,,
88,エンジン型式,8型 3.8L/NA,,,
89,車体構成,4人乗りSUV PT4WD/6MT,,,
90,JEEP JK36L,,2012/08 ラングラー アンリミテッド Altitude [ABA-JK36L型],814mm 255/70R18 [220mm] 1740rpm,G 3.7L/NA 4WD/5AT SUV
91,JEEP [ABA-JK36L型] ラングラー アンリミテッド [Altitude] 2012/08モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高220mm100km/h回転数1740rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/5AT,JEEP [ABA-JK36L型] ラングラー アンリミテッド [Altitude] 2012/08モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高220mm100km/h回転数1740rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/5AT,JEEP [ABA-JK36L型] ラングラー アンリミテッド [Altitude] 2012/08モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高220mm100km/h回転数1740rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/5AT,JEEP [ABA-JK36L型] ラングラー アンリミテッド [Altitude] 2012/08モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高220mm100km/h回転数1740rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/5AT,JEEP [ABA-JK36L型] ラングラー アンリミテッド [Altitude] 2012/08モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高220mm100km/h回転数1740rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/5AT
92,JEEP [ABA-JK36L型],JEEP [ABA-JK36L型],,,
93,ラングラー アンリミテッド [Altitude] 2012/08モデル,ラングラー アンリミテッド [Altitude] 2012/08モデル,,,
94,タイヤ外径,814mm,,,
95,タイヤサイズ,255/70R18,,,
96,最低地上高,220mm,,,
97,100km/h回転数,1740rpm,,,
98,エンジン型式,G型 3.7L/NA,,,
99,車体構成,5人乗りSUV PT4WD/5AT,,,
100,JEEP JL36L,,2018/11 ラングラー アンリミテッド Sahara [ABA-JL36L型],814mm 255/70R18 [200mm] 1500rpm,G 3.7L/NA 4WD/8AT SUV
101,JEEP [ABA-JL36L型] ラングラー アンリミテッド [Sahara] 2018/11モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高200mm100km/h回転数1500rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/8AT,JEEP [ABA-JL36L型] ラングラー アンリミテッド [Sahara] 2018/11モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高200mm100km/h回転数1500rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/8AT,JEEP [ABA-JL36L型] ラングラー アンリミテッド [Sahara] 2018/11モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高200mm100km/h回転数1500rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/8AT,JEEP [ABA-JL36L型] ラングラー アンリミテッド [Sahara] 2018/11モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高200mm100km/h回転数1500rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/8AT,JEEP [ABA-JL36L型] ラングラー アンリミテッド [Sahara] 2018/11モデルタイヤ外径814mmタイヤサイズ255/70R18最低地上高200mm100km/h回転数1500rpmエンジン型式G型 3.7L/NA車体構成5人乗りSUV PT4WD/8AT
102,JEEP [ABA-JL36L型],JEEP [ABA-JL36L型],,,
103,ラングラー アンリミテッド [Sahara] 2018/11モデル,ラングラー アンリミテッド [Sahara] 2018/11モデル,,,
104,タイヤ外径,814mm,,,
105,タイヤサイズ,255/70R18,,,
106,最低地上高,200mm,,,
107,100km/h回転数,1500rpm,,,
108,エンジン型式,G型 3.7L/NA,,,
109,車体構成,5人乗りSUV PT4WD/8AT,,,
110,LINCOLN -,,2011/02 ナビゲーター BaseGrade 型式不明,811mm 275/55R20 [200mm] 1680rpm,- 5.5L/NA 4WD/6AT SUV
111,LINCOLN 型式不明 ナビゲーター [BaseGrade] 2011/02モデルタイヤ外径811mmタイヤサイズ275/55R20最低地上高200mm100km/h回転数1680rpm排気量/吸気方式5.5L/NA車体構成8人乗りSUV 4WD/6AT,LINCOLN 型式不明 ナビゲーター [BaseGrade] 2011/02モデルタイヤ外径811mmタイヤサイズ275/55R20最低地上高200mm100km/h回転数1680rpm排気量/吸気方式5.5L/NA車体構成8人乗りSUV 4WD/6AT,LINCOLN 型式不明 ナビゲーター [BaseGrade] 2011/02モデルタイヤ外径811mmタイヤサイズ275/55R20最低地上高200mm100km/h回転数1680rpm排気量/吸気方式5.5L/NA車体構成8人乗りSUV 4WD/6AT,LINCOLN 型式不明 ナビゲーター [BaseGrade] 2011/02モデルタイヤ外径811mmタイヤサイズ275/55R20最低地上高200mm100km/h回転数1680rpm排気量/吸気方式5.5L/NA車体構成8人乗りSUV 4WD/6AT,LINCOLN 型式不明 ナビゲーター [BaseGrade] 2011/02モデルタイヤ外径811mmタイヤサイズ275/55R20最低地上高200mm100km/h回転数1680rpm排気量/吸気方式5.5L/NA車体構成8人乗りSUV 4WD/6AT
112,LINCOLN 型式不明,LINCOLN 型式不明,,,
113,ナビゲーター [BaseGrade] 2011/02モデル,ナビゲーター [BaseGrade] 2011/02モデル,,,
114,タイヤ外径,811mm,,,
115,タイヤサイズ,275/55R20,,,
116,最低地上高,200mm,,,
117,100km/h回転数,1680rpm,,,
118,排気量/吸気方式,5.5L/NA,,,
119,車体構成,8人乗りSUV 4WD/6AT,,,
